t_s,M,power_w,V_load_worst,V_load_avg
0.481497,8,118.512,0.917410,0.934397
0.481520,8,119.209,0.939388,0.939388
0.481533,8,119.487,0.938682,0.938682
0.481542,8,118.042,0.940583,0.940583
0.481551,8,118.328,0.940634,0.940634
0.481559,8,116.722,0.940835,0.940835
0.481567,8,118.401,0.940604,0.940604
0.481574,8,113.569,0.941305,0.941305
0.481582,8,121.220,0.928815,0.928815
0.481589,8,122.739,0.925975,0.925975
0.481597,8,118.289,0.940542,0.940542
0.481604,8,117.058,0.940728,0.940728
0.481611,8,123.916,0.923210,0.923210
0.481997,8,117.536,0.915549,0.937770
0.483000,8,117.411,0.912283,0.937153
0.484001,8,117.871,0.913393,0.936044
0.485001,8,117.970,0.921783,0.936550
0.486001,8,117.690,0.918815,0.936428
0.487002,8,117.491,0.927700,0.938256
0.495440,8,117.151,0.928182,0.937820
0.495464,8,117.502,0.940968,0.940968
0.495480,8,116.664,0.941108,0.941108
0.495490,8,113.963,0.941490,0.941490
0.495501,8,121.251,0.927695,0.927695
0.495510,8,122.059,0.927395,0.927395
0.495520,8,110.284,0.941490,0.941490
0.495528,8,119.118,0.934651,0.934651
0.495999,8,117.544,0.916606,0.937268
0.502570,9,118.112,0.910917,0.936912
0.502595,9,125.663,0.917959,0.917959
0.502614,9,119.931,0.939968,0.939968
0.502624,9,131.212,0.903616,0.903616
0.502632,9,122.812,0.937162,0.937162
0.502641,9,124.076,0.933326,0.933326
0.502999,9,125.866,0.909902,0.932738
0.504002,9,125.027,0.914578,0.933384
0.505001,9,124.755,0.907655,0.932419
0.506001,9,126.019,0.916944,0.932991
0.507002,9,124.860,0.911620,0.933274
0.514382,9,125.570,0.921085,0.933734
0.514405,9,128.156,0.928649,0.928649
0.514426,9,126.523,0.935428,0.935428
0.514436,9,124.673,0.937075,0.937075
0.514445,9,125.680,0.937092,0.937092
0.514453,9,128.401,0.928661,0.928661
0.514462,9,123.546,0.937112,0.937112
0.514919,9,124.954,0.903302,0.934119
0.515999,9,126.207,0.908177,0.932442
0.521532,9,124.983,0.909813,0.933058
0.521548,9,121.716,0.938171,0.938171
0.521558,9,124.969,0.933893,0.933893
0.521566,9,121.174,0.938315,0.938315
0.521574,9,122.884,0.938363,0.938363
0.521996,9,125.488,0.910625,0.932625
0.523001,9,125.465,0.913953,0.933215
0.524001,9,125.353,0.913017,0.932565
0.525001,9,125.592,0.908001,0.932633
0.526001,9,126.030,0.906412,0.932377
0.533397,9,125.832,0.910974,0.931701
0.533420,9,124.030,0.937525,0.937525
0.533433,9,129.943,0.921245,0.921245
0.533442,9,125.614,0.937059,0.937059
0.533452,9,130.545,0.921855,0.921855
0.533459,9,129.111,0.929105,0.929105
0.533467,9,123.471,0.936743,0.936743
0.533934,9,125.776,0.906087,0.932628
0.534996,9,124.701,0.926601,0.934523
0.536158,9,126.081,0.911321,0.932741
0.547396,9,126.288,0.913906,0.932855
0.547421,9,127.607,0.927674,0.927674
0.547437,9,122.567,0.937688,0.937688
0.547447,9,128.024,0.926600,0.926600
0.547458,9,124.669,0.937412,0.937412
0.547466,9,132.111,0.914799,0.914799
0.547475,9,130.236,0.924742,0.924742
0.547495,9,123.274,0.936753,0.936753
0.547505,9,128.871,0.929001,0.929001
0.547513,9,124.832,0.936729,0.936729
0.547521,9,128.752,0.929521,0.929521
0.548000,9,125.514,0.909396,0.933999
0.549000,9,126.279,0.903608,0.932249
0.550001,9,126.908,0.904248,0.932329
0.551001,9,124.495,0.918276,0.933958
