t_s,M,power_w,V_load_worst,V_load_avg
0.277618,5,99.239,0.943571,0.943571
0.277626,5,97.677,0.950024,0.950024
0.277999,5,97.093,0.936781,0.948660
0.278996,5,97.840,0.934243,0.948765
0.281464,5,97.394,0.933027,0.948304
0.281489,5,93.520,0.951948,0.951948
0.282001,5,97.398,0.939969,0.947957
0.283022,5,99.427,0.945632,0.945632
0.284001,5,97.139,0.934628,0.948141
0.285001,5,97.053,0.939244,0.948576
0.287116,5,97.759,0.941060,0.948547
0.287141,5,95.578,0.951224,0.951224
0.287651,5,97.771,0.931497,0.947855
0.290072,5,97.325,0.938197,0.948774
0.290097,5,98.823,0.944933,0.944933
0.292376,5,97.526,0.938172,0.948688
0.292400,5,97.601,0.951064,0.951064
0.297718,5,97.106,0.936411,0.948653
0.297734,5,96.924,0.950397,0.950397
0.297744,5,97.065,0.950166,0.950166
0.297753,5,96.860,0.951095,0.951095
0.297761,5,96.063,0.951705,0.951705
0.297998,5,97.299,0.932822,0.948645
0.299001,5,97.464,0.933303,0.948629
0.300002,6,97.575,0.938892,0.948158
0.301002,6,105.144,0.924563,0.940680
0.302002,6,104.793,0.929426,0.944169
0.303001,6,105.978,0.933132,0.943730
0.304000,6,104.536,0.935462,0.944804
0.305001,6,105.608,0.932784,0.944552
0.318009,6,107.252,0.925119,0.942112
0.318033,6,105.265,0.946600,0.946600
0.318047,6,108.940,0.939623,0.939623
0.318055,6,104.563,0.946652,0.946652
0.318065,6,106.124,0.946709,0.946709
0.318073,6,105.452,0.946822,0.946822
0.318081,6,109.211,0.937512,0.937512
0.318089,6,105.840,0.946645,0.946645
0.318096,6,107.598,0.943747,0.943747
0.318103,6,105.882,0.946657,0.946657
0.318111,6,106.186,0.946707,0.946707
0.318124,6,107.049,0.945197,0.945197
0.318133,6,106.102,0.946718,0.946718
0.318998,6,105.911,0.928882,0.943943
0.322911,6,105.585,0.926867,0.944528
0.322937,6,105.860,0.944363,0.944363
0.322947,6,105.838,0.944976,0.944976
0.322998,6,104.742,0.939270,0.945064
0.325258,6,105.446,0.929567,0.944185
0.325283,6,106.133,0.945319,0.945319
0.327467,6,105.884,0.935137,0.944224
0.327487,6,105.124,0.947326,0.947326
0.328001,6,105.054,0.930365,0.943668
0.329002,6,105.656,0.927632,0.943555
0.330001,6,104.381,0.931748,0.945514
0.331001,6,105.260,0.934399,0.944322
0.332002,6,105.533,0.929180,0.942614
0.347311,6,105.440,0.930182,0.944638
0.347334,6,109.164,0.936845,0.936845
0.347348,6,106.512,0.946677,0.946677
0.347357,6,101.384,0.947203,0.947203
0.347366,6,106.198,0.945232,0.945232
0.347374,6,106.920,0.943210,0.943210
0.347383,6,103.356,0.947282,0.947282
0.347390,6,102.796,0.947546,0.947546
0.347398,6,105.933,0.944201,0.944201
0.347405,6,104.139,0.947541,0.947541
0.347413,6,103.442,0.947689,0.947689
0.347420,6,107.403,0.938623,0.938623
0.347428,6,105.149,0.947414,0.947414
0.347435,6,111.598,0.926464,0.926464
0.347443,6,107.072,0.944769,0.944769
0.347995,6,105.748,0.926070,0.943809
0.349000,6,105.640,0.927530,0.944124
0.350001,6,105.930,0.930304,0.944057
0.351001,6,105.199,0.932657,0.943370
0.352001,6,106.018,0.931853,0.943490
0.360287,6,105.626,0.932143,0.944445
0.360311,6,106.811,0.944211,0.944211
0.360324,6,106.837,0.944604,0.944604
0.360333,6,104.422,0.947052,0.947052
0.360342,6,104.601,0.947182,0.947182
0.360349,6,110.178,0.932374,0.932374
0.360365,6,104.859,0.946896,0.946896
0.360372,6,99.903,0.947527,0.947527
0.360997,6,105.758,0.926531,0.944321
0.362002,6,105.541,0.928479,0.944214
0.363001,6,105.277,0.932313,0.944262
0.364001,6,104.729,0.937077,0.945150
0.365001,6,105.518,0.935288,0.943891
0.372586,7,105.246,0.932483,0.944263
0.372609,7,115.883,0.911468,0.911468
0.372623,7,113.301,0.926008,0.926008
0.372632,7,110.738,0.937832,0.937832
0.372641,7,111.502,0.936701,0.936701
0.372649,7,117.936,0.917231,0.917231
0.372657,7,115.175,0.930996,0.930996
0.372995,7,113.707,0.922255,0.940420
0.385270,7,114.285,0.925651,0.939014
0.385293,7,112.934,0.942870,0.942870
0.385308,7,117.742,0.931514,0.931514
0.385317,7,111.627,0.942855,0.942855
0.385326,7,114.975,0.940623,0.940623
0.385334,7,114.200,0.942809,0.942809
0.385343,7,113.109,0.942936,0.942936
0.385350,7,108.459,0.943503,0.943503
0.385358,7,118.430,0.925777,0.925777
0.385365,7,115.518,0.938272,0.938272
0.385373,7,109.803,0.943272,0.943272
0.385380,7,114.943,0.938421,0.938421
0.386000,7,113.948,0.919891,0.939635
0.387001,7,114.066,0.917331,0.939887
0.388001,7,113.264,0.928740,0.940372
0.389002,7,113.722,0.929555,0.940603
0.390002,7,114.576,0.928132,0.938253
0.391002,7,113.836,0.928451,0.940321
0.397765,7,113.193,0.926493,0.939832
0.397787,7,114.381,0.939157,0.939157
0.397801,7,113.232,0.943348,0.943348
0.397809,7,111.943,0.943484,0.943484
0.397819,7,112.427,0.943544,0.943544
0.397826,7,115.365,0.935545,0.935545
0.398000,7,113.986,0.927320,0.939658
0.399001,7,114.234,0.922046,0.939930
0.400001,7,113.663,0.929334,0.940711
0.401001,7,114.330,0.927524,0.938690
0.402001,7,113.974,0.921260,0.939548
0.403002,7,113.667,0.928702,0.938550
0.411380,7,113.539,0.914221,0.939361
0.411404,7,110.902,0.943105,0.943105
0.411419,7,112.083,0.943276,0.943276
0.411427,7,114.314,0.940453,0.940453
0.411437,7,113.668,0.943038,0.943038
0.411445,7,112.328,0.943315,0.943315
0.411454,7,115.223,0.937271,0.937271
0.411461,7,115.305,0.938028,0.938028
0.411915,7,114.263,0.927166,0.939570
0.425292,7,113.841,0.923033,0.939585
